谋杀歌谣,6.7,1212,Trip Cullman/Sam Yates/胡晓庆/赵文郁/闻小炜/Trip Cullman/Sam Yates/胡晓庆/赵文郁/赵文郁/胡晓庆/胡晓庆/闻小炜/,https://www.douban.com/location/drama/24845673/
白夜行,7.9,3564,长谷川宁/,https://www.douban.com/location/drama/30281211/
变身怪医,8.1,1836,罗宾.菲利普（Robin Phillips）/Jeff Calhoun/Drew McOnie/David Swan/高瑞嘉/罗宾.菲利普（Robin Phillips）/Jeff Calhoun/Jeff Calhoun/Drew McOnie/David Swan/高瑞嘉/陈茜倩/David Swan/,https://www.douban.com/location/drama/10944600/
摇滚年代,6.5,466,肖杰/施亦骏/肖杰/施亦骏/,https://www.douban.com/location/drama/27625454/
《面试》中文版,8.1,372,郑定意/郑定意/郑定意/郑定意/郑定意/郑定意/郑定意/,https://www.douban.com/location/drama/34891317/
春之觉醒,8.5,813,Michael Mayer/Per Eltvik/Wesley Ellul/Ryan McBryde/Jonathan Berry/Michael Mayer/Per Eltvik/Wesley Ellul/Ryan McBryde/Jonathan Berry/Pete Gallagher/Bob Chapel/マイケル メイヤー/Kate Sullivan/Michael Arden/Michael Johannes Mayer/Martin Timmy Haberger/Bjorn Dobbelaere/贾婧/白井晃/白井晃/Anna Skidis Vargas/Spencer Liff/刘晓邑/,https://www.douban.com/location/drama/3671947/
猫,9.0,23557,乔·安·罗宾逊 JO-ANNE  ROBINSON/Trevor Nunn/未知/John DeGaetano/Dave Campbell/乔·安·罗宾逊 JO-ANNE  ROBINSON/Trevor Nunn/Trevor Nunn/未知/未知/未知/未知/未知/未知/未知/未知/未知/未知/未知/未知/John DeGaetano/Dave Campbell/Trevor nunn/unknown/Trevor Nunn/Gillian Lynne/James L. Nederlander/Gillian Lynne/Trevor Nunn/,https://www.douban.com/location/drama/1603572/
春之觉醒（中文版）,7.5,202,Bjorn Dobbelaere/Spencer Liff/刘晓邑/Bjorn Dobbelaere/Spencer Liff/刘晓邑/,https://www.douban.com/location/drama/34937638/
丝路传奇·花木兰,,,刘令飞/,https://www.douban.com/location/drama/34927742/
危险游戏,7.4,306,Martin Charnin/Michael Rupert/朴智慧 （韩国）/高瑞嘉/Martin Charnin/Michael Rupert/朴智慧 （韩国）/高瑞嘉/,https://www.douban.com/location/drama/20388499/
两个人的谋杀,7.8,269,田水/,https://www.douban.com/location/drama/26945651/
吸血鬼德库拉伯爵,6.0,17,沈旭飞/,https://www.douban.com/location/drama/26271716/
芝加哥,8.5,8212,"Walter Bobbie/Philip Godawa/Bob Fosse/Fred Ebb/秦歌/Walter Bobbie/Philip Godawa/Bob Fosse/Walter Bobbie/Fred Ebb/秦歌/David Ian/Walter Bobbie/吴金佩/王展/秦歌/na/BOB FOSSE,WALTER BOBBIE/Walter Bobbie/Walter Bobbie/David Ian and Michael Watt/李子健/Rob Fisher/Andrew Bryan/Walter Bobbie/",https://www.douban.com/location/drama/10945536/
